,comment
90,摸肘
91,不纠正读猫丢也行啊，英音美音的区别
92,up发音好翘
93,都换成中文就学
94,英音是dju，美音是dʒu
95,声音不对劲
96,声音奇奇怪怪
97,妈jo
98,"It does not matter about the pronunciation, because English just a tool language"
99,"Either /dj/ or /dʒ/ is correct, but not /ʈʂ/"
100,"In Received Pronunciation we pronounce /mɒdjuːl/, General American pronounce /mɑdʒul/"
101,妈舅
102,青年大学习
103,不可能发妈久
104,马酒
105,一帮非英语母语者在做英语读音警有够好笑的
106,我不道啊
107,y1s1，这个声音有点好听啊，本来奔着init来的
108,马厩
109,我就读的摸久
110,你的键盘音好好听哦
111,all遨游
112,有点像弯弯的腔调
113,你讲话好好听哦
114,这个自动的红色报错是怎么搞出来的？
115,应该读 猫丢
116,module发音和模组还挺像
117,很抽象兄弟，很抽象。你真觉得念marjor是吧
118,打印一下调用栈就知道了
119,麻将A
120,学学英语吧
121,dj腭化为dʒj是常见的个人口音差异，不是说不腭化就错
122,........
123,妈九？
124,吗者诶
125,美式也tm不读妈久好么 
126,567
127,点错了 写过的
128,我靠，还真有点AI语音的感觉
129,别纠结口音了，能听懂就行呗，14亿印度人的口音要不要也去纠正一下呀
130,别吵了，就是摸酒不是妈酒，但也没必要纠正，给美国人说它也知道你在说什么
131,因为她读音是真的 tmd 不正常
132,马卓
133,什么玩意
134,init
135,因为！
136,吗者是美音毛丢是英音就这么简单
137,默认肯定是读美式发音阿，就是妈九
138,en吗都
139,实在挑不出女生毛病了就说口音
140,自执行吗
141,什么都不放
142,那我定义__father__ = 'XXX' 是不是也可以通过
143,一直念成int
144,一直念成包
145,请问terminal的工具是什么
146,还没学到import的功能，刚刚才知道是加载别的文件
147,一下子就明白了
148,英音猫丢，美音妈酒
149,跟我读的一摸一样，有啥问题？
150,用的啥ai
151,妹！马酒诶！
152,是拍kei纸不是拍客zhei
153,怎么TM哪里都有发音警察
154,妈酒
155,马哲是个什么鬼？
156,不应该是猫丢吗？
157,我感谢你的“妈舅”，或是“妈酒”
158,我不知道
159,你随便查词典，都是这么发音的，没事音标就是这样的。
160,小姐姐学的是美音？
161,很难想象代码视频下面是英语评论区……
162,马zhou
163,李宏毅也是这么读module的
164,三姐
165,因为这个语言设计烂
166,初始化
167,多新鲜那
168,妈猪藕
169,美音就是这么读的啊，这也能出警吗
170,毛豆
171,总算在编程领域遇到一个会读英语的UP，大多数技术UP张口就是中式英语难受极了
172,dui
173,这读音就是对的啊
174,妈捉A
175,唉，python好用，但是太丑了
176,cursor
177,麻抓？
178,构造函数？
179,妈酒？？？
180,我是一直读作摩丢
181,我去这个居然读妈揪我一直以为是猫斗
182,问得好 我选择from package import module
183,我选择from package import moudle
184,上海major大师赛
185,chewsday？
186,对不起但是，妈找 是什么
187,不，我不鸡道
188,默聚额
189,口音好难受
190,说发音的，自己词典里搜一下不就行了吗？
191,什么美式读音
192,居然有人对一个程序员挑剔英语发音
193,马酒，哈哈哈
194,马酒？
195,这个好像是变音的
196,构造器
197,妈九
198,妈九
199,讲的很清晰!
200,懂了!
201,if __init__ == “__main__”
202,打字好快
203,为什么有一种泥舔mtf的味道
204,无
205,无
206,无
207,无
208,无
209,有
210,无
211,有
212,无
213,有
214,有
215,有
216,无
217,无
218,有
219,有
220,有
221,有
222,无
223,这个单词还是英音好听
224,有
225,麻将
226,再maya软件中 无法使用 __init__
227,妈肘
228,妈舅诶
229,我才知道
