标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
WBG战胜BLG队内语音，小天当场逮捕Wei原地空大：波比没大了！波比没大了！,火播君,BV1wnoiYsEu7,2025-03-26 19:27:38,1:34,43,813,120955,64,电子竞技,"LOL,英雄联盟,BLG,LPL,小虎,ELK,Wei,Bin,WBG,tian","英雄联盟
WBG战胜BLG队内语音
zt"
《lol手游解说》亚索就是能稳定1v2的中单,杨逍逍i,BV1HiKpeuE8D,2025-02-13 17:02:00,13:16,391,7352,267537,466,手机游戏,"游戏解说,MOBA,英雄联盟手游",-
BLG打野wei像头蠢驴，而相比操作，心态才是最大的问题,貘馍卷zz,BV1nBZNYvEfq,2025-03-27 00:05:04,17:43,13,74,8831,14,电子竞技,"英雄联盟,BLG,电子竞技,打野,心态,MOBA,LPL,直播录像,wei",如果一个选手打比赛永远操作变形，那不是菜，那是思想出问题了，是心理出问题了。从去年到现在，小wei的问题一点没变，如果不能把心态调整回来，假设进了世界赛，能顶住这么大的压力吗？今年可没有xun给你擦屁股了。
追逐梦想！十年老玩家挑战lol从零上王者#1,一叮当猫一,BV14F411S747,2023-09-20 19:55:40,11:57,890,26742,855003,3818,电子竞技,"游戏,英雄联盟,挑战,游戏解说,游戏实况,电子竞技,MOBA,拳头,lol,整点电子榨菜",挑战不可能！！
《玩英雄联盟和英雄联盟手游的朋友都沉默了》,骚铭,BV1ea411v7Dy,2022-04-17 13:00:26,2:49,1519,90698,1962613,4868,电子竞技,"英雄联盟日常那些事儿,电子竞技,LOL,游戏,手机游戏,英雄联盟,LOL手游,骚铭,手游,英雄联盟手游","有端游带手游的朋友遇到过这些情况么！
真实的................卡住了！！"
【HLE vs KC】二路解说，LOL全球先锋赛决赛,无畏联盟2,BV1nYQ8YWETg,2025-03-16 17:37:50,1760:36,3,30,12144,40,电子竞技,"Zeus,Peanut,Viper,Delight,Canna,Zeka,王者荣耀UP主激励计划,Yike,王者荣耀UP主激励计划-春日篇,HLE vs KC",【HLE vs KC】二路解说，LOL全球先锋赛决赛
《lol手游解说》会用男刀这三种连招 你也能当小代乱杀,杨逍逍i,BV1Gb421J79W,2024-07-29 21:22:12,15:37,416,5310,250620,1725,手机游戏,"游戏解说,MOBA,英雄联盟手游,英雄联盟手游二周年",-
15.6T1英雄推荐：中野新神纳亚菲利，剑姬格温统治上路！,兰斯Studios,BV1i8o1YuEtQ,2025-03-24 15:34:22,10:56,307,2402,122680,341,电子竞技,"LOL,英雄联盟,电子竞技,兰斯,LO,MOBA,上分,万物皆可游戏,T1英雄推荐",
《当LOL单排能语音时》最有节目的一集！,顾盼锐雯,BV17GzzY1E3r,2024-12-01 10:00:00,9:27,391,5054,222152,239,电子竞技,"搞笑,英雄联盟,电子竞技,主播,上单,MOBA,顾盼锐雯,英雄联盟双城激励计划","单双排可以跟队友语音了哈哈哈哈！
太有意思了哈哈哈哈哈！"
【LOL】女大学生第一次打英雄联盟入门人机一次不死并且超神,XH西米露,BV1Vo4y1q73i,2023-03-18 21:37:43,19:2,2123,9369,337130,1550,网络游戏,"2023LPL激励计划第一期,LPL激励计划,英雄联盟,女大学生,MOBA,操作,娱乐","1.室友看我天天打联盟，于是撸起袖子拿金克丝在入门人机里大杀四方。
2.第一把的金克丝让她信心大增，并于第二把用卡特琳娜在入门人机豪取五杀，望周知！"
英雄联盟千皮号烂大街？深度分析LOL账号贬值的原因,多兰选号网,BV1F81wYcEDQ,2024-10-24 05:03:50,6:9,312,1618,239316,368,网络游戏,"LOL,英雄联盟,电子竞技,MOBA,英雄联盟账号,英雄联盟卖号,英雄联盟租号,英雄联盟买号,多兰选号网","多兰选号网提供热门端游、手游、Steam等账号租赁服务。
英雄联盟千皮号每小时0.6元起，包天更优惠！
号源充足，客服24小时在线，累计订单量已过千万。
因为专注，所以专业！平台官网：duolan.wang"
谈LOL和Dota2的本质区别 LOL为什么要逼你打架？,Gamekids,BV1xkP8ehEb4,2025-02-25 10:51:34,4:34,249,1417,65166,328,电子竞技,"LOL,英雄联盟,DOTA2,电子竞技,MOBA,LPL,万物皆可游戏",新人UP主，请多关照
【LOL手游】国一纳尔最新国服绝活哥上单，连招手法出装思路抓人技巧符文新皮肤搭配排位elo机制上分教学直播回放录像,电竞游戏王,BV1RiZMYYEre,2025-03-27 09:29:08,20:54,1,4,107,1,手机游戏,"录像,皮肤,国服,上单,MOBA,教程攻略,英雄联盟手游,elo,必剪创作,上B站看演出",-
一口气看完LOL长篇小说《破败之咒》，超长超爽一次看过瘾！,靠脸吃饭的徐大王,BV1Nu4y1q7ru,2023-08-12 11:17:06,68:36,20301,248773,2184201,82321,电子竞技,"剧情,游戏杂谈,讲故事,背景故事,英雄联盟暑期激励计划",爆肝两周，终于完成了这期超长的视频，为大家详细解析这本33万字的英雄联盟长篇小说《破败之咒》的剧情故事，总时长有一个多小时，建议大家先收藏再慢慢观看！
《 人 多 力 量 大 》,英雄联盟-小白鸦,BV1hS411w7ik,2024-07-30 20:00:00,4:5,737,47018,1343467,4365,电子竞技,"搞笑,英雄联盟,下饭,电子竞技",《人多力量大》
英雄不联盟,直面泰山,BV1XeXrYLEXQ,2025-03-21 16:16:53,5:2,291,28287,286709,692,网络游戏,"LOL,英雄联盟,中单,电子竞技,加里奥,MOBA","感谢大家的点赞，投币！
每天上午九点准时开播   
开黑交流群：668128870"
【赛前:新研究凤凰打野线双收。赛后:我再用凤凰抽自己俩耳光】孙一峰《英雄联盟LOL》,鬼娃娃华子,BV1hJZTYxENw,2025-03-27 09:00:00,6:18,2,22,1330,1,日常,"搞笑,LOL,英雄联盟,凤凰,孙一峰,打野,MOBA,必剪创作",-
冰川时代！爱丽儿怎么了？31LOL惊喜DIY,LaLiLu创意手工,BV1R2421A7mM,2024-03-24 15:00:00,38:0,4,320,416787,1096,手工,"可爱,LOL,DIY,高能,创意,玩具,手工,惊喜,爱丽儿,一起做手工吧！,一起做手工吧14.0·整活手工大赏",一颗陨石的坠落改变了气候：艾莎的王国变成了热带，而爱丽儿的海底世界正在结冰。公主们能适应吗？她们会找到一个共同的解决方案吗？来LaLiLu的新视频中找到答案吧！
【2025LPL第二赛段】小组赛 LGD vs JDG,一叶落zhi天下秋,BV122ZPYgE3y,2025-03-27 00:58:42,40:43,0,0,142,0,电子竞技,"LOL,英雄联盟,单挑,LGD,电子竞技,LPL,电竞赛事,JDG,东芝春日实验室",
【朱开】去年也是Wei3-0赢下WBG，作为教练怎么解决BLG问题？我不觉得乐言来能改变，Bin哥需要站出来，下路双人线统治力要高，打野要向下路靠,美食家香香饭,BV15QZTYeEyb,2025-03-27 10:28:18,5:53,7,23,6398,6,电子竞技,"英雄联盟,BLG,LPL,ELK,Knight,Wei,Tian,Bin,WBG,kanavi","关注点赞投币
主做S赛，LPL，老头杯，时光杯，解说杯，各主播日常直播等切片
1元粉丝牌现已开通
同运营账号：品鉴师香香汗"
【朱开】去年也是Wei3-0赢下WBG，作为教练怎么解决BLG问题？我不觉得乐言来能改变，Bin哥需要站出来，下路双人线统治力要高，打野要向下路靠,美食家香香饭,BV15QZTYeEyb,2025-03-27 10:28:18,5:53,7,23,6398,6,电子竞技,"英雄联盟,BLG,LPL,ELK,Knight,Wei,Tian,Bin,WBG,kanavi","关注点赞投币
主做S赛，LPL，老头杯，时光杯，解说杯，各主播日常直播等切片
1元粉丝牌现已开通
同运营账号：品鉴师香香汗"
theshy鳄鱼对线超高胜率青钢影，没有直播也能OB学技术,猛男喝雪碧,BV1MQoiYPEQx,2025-03-26 19:11:51,5:2,108,2363,46048,108,电子竞技,"英雄联盟,上单,TheShy",
【LOL手游】国一纳尔最新国服绝活哥上单，连招手法出装思路抓人技巧符文新皮肤搭配排位elo机制上分教学直播回放录像,电竞游戏王,BV1RiZMYYEre,2025-03-27 09:29:08,20:54,1,4,107,1,手机游戏,"录像,皮肤,国服,上单,MOBA,教程攻略,英雄联盟手游,elo,必剪创作,上B站看演出",-
【真实电竞】B站3年挣400多万全花光，没买房子和车全喝酒享受了,美食家香香饭,BV1NCQhYiEtx,2025-03-16 22:58:00,7:34,88,939,187778,379,电子竞技,"上海,游戏,LOL,英雄联盟,TES,IG,电子竞技,沈阳,LPL,真实电竞","关注点赞投币
主做S赛，LPL，老头杯，时光杯，解说杯，各主播日常直播等切片
1元粉丝牌现已开通
同运营账号：美食家香香饭"
【2025LPL第二赛段】小组赛 LGD vs JDG,一叶落zhi天下秋,BV122ZPYgE3y,2025-03-27 00:58:42,40:43,0,0,142,0,电子竞技,"LOL,英雄联盟,单挑,LGD,电子竞技,LPL,电竞赛事,JDG,东芝春日实验室",
谈LOL和Dota2的本质区别 LOL为什么要逼你打架？,Gamekids,BV1xkP8ehEb4,2025-02-25 10:51:34,4:34,249,1417,65166,328,电子竞技,"LOL,英雄联盟,DOTA2,电子竞技,MOBA,LPL,万物皆可游戏",新人UP主，请多关照
保电竞还是保日活？这是摆在LOL面前的一个难题,Dumb-Frog,BV1cEf2YWE6f,2025-01-27 14:12:40,9:15,697,4249,303337,643,电子竞技,"LOL,英雄联盟,网络游戏,电子竞技,游戏杂谈,电竞,MOBA,LPL,英雄联盟新春会,bilibili新春季",
这宝典以后再也不氪了,姜氏,BV18VRjY6EFW,2025-03-10 23:34:35,9:5,161,175,38839,10,网络游戏,"LOL,ADC,电子竞技,抽奖,MOBA,宝典,2025LPL第一赛段,2025LPL激励计划第一期",真实
从诸神之战到全员阉割！无限火力是怎么被拳头玩坏的？,联盟进化史阿灰,BV1kjF8eCEvi,2025-01-29 17:00:00,5:18,615,7513,401079,437,电子竞技,"LOL,英雄联盟,电子竞技,游戏杂谈,盖伦,MOBA,无限火力,无限乱斗,联盟进化史,英雄联盟新春会,bilibili新春季",直升机人马、大风车盖伦、军体拳蝎子……你还记得那年的诸神之战吗？
这种局打完 下局就要小心了,热气re7,BV1nLXjYpEPk,2025-03-18 17:56:52,4:56,245,35696,422925,836,电子竞技,"游戏,英雄联盟,电子竞技","因为下盘包被elo的..这盘打的是一个96胜率钻3排大师宗师5 6百分的对局
配音也是三个月前我舌头还没手术的时候就已经配好音的一集！（一听 那会配音好有精神）
当时没发的原因无他，那阵子PR开了新的工程 给这期视频忘记了。
最近翻工程才翻到 觉得质量还可以就补做了一个后期。 牢热在努力恢复更新！"
策划是要毁了英雄联盟吗，LOL到底该怎么办？,党叔连连看,BV1BeRNY4EQh,2025-03-06 23:13:26,7:40,229,372,41360,73,网络游戏,"LOL,英雄联盟,电子竞技,游戏杂谈,MOBA,拳头,riot,快速匹配,Swiftplay",
电棍otto：这是我打LOL以来，见过最硬的嘴！！！,电棍otto,BV1UT411J71h,2022-07-15 18:45:59,5:2,2705,34222,1521099,8752,电子竞技,"电子竞技,电竞,LOL,搞笑,实况,稳健棍,电棍,otto,奇葩队友",
【英雄联盟】2025赛季诺克萨斯主题CG | 《齿痕》,英雄联盟,BV1R9rSY5E2r,2025-01-08 00:00:00,5:12,5435,69359,1997943,17143,网络游戏,"LOL,英雄联盟,英雄联盟2025新赛季,英雄联盟2025赛季影片","来回答一个简单的问题吧……你，有多少力量？

你说不畏惧死亡
当铠甲褪去
为何只剩仓皇？

欢迎来到诺克萨斯 ⚔️ 2025赛季第一主题季即将上线！"
【LOL】螳......螳螂！👺,叨叨阳-,BV12v4y1P78a,2022-05-09 09:00:00,2:16,452,22331,992067,1710,电子竞技,"来亿点MOD,这MOD就离谱,电子竞技,LOL,自制,英雄联盟,沙雕","这个皮肤UP主自己做，有得英雄不会玩
对局回放录像，我是用wegame回放记录里主播的文件随便来录。"
大型纪录片之《LOL全明星疯狂给小乔送礼物》,PRXBubble,BV1n5XtYQENQ,2025-03-23 10:15:54,34:21,2,98,12804,41,网络游戏,"英雄联盟,小乔,电子竞技,乐言,huanfeng",弹幕告诉你什么是顶级串子
【单排爆爆】《lol手游》这期视频内容太多了，所以时间很长，请大家耐心观看！,单排爆爆,BV1mcXtYhEes,2025-03-23 10:00:00,18:9,231,767,19902,64,手机游戏,"逆风翻盘,MOBA,教程攻略,英雄联盟手游",
这TM才叫英雄联盟，全年最震撼的爆杀合集含金量天高！,路人王阿豪,BV19A41157PM,2021-04-02 17:31:39,3:58,348,9884,299555,1733,电子竞技,"电子竞技,网络游戏,精彩集锦,英雄联盟lol,精彩操作,全程高能,你懂不懂爆杀呀",英雄联盟超帅AOE爆杀精彩合集，这大概是召唤师们最想的视频了吧。
《lol手游解说》高手的瞎子不用花哨 简单的拳脚才厉害,杨逍逍i,BV1Em68Y9EwP,2024-12-29 17:58:19,12:1,250,4616,202537,435,手机游戏,"游戏解说,MOBA,英雄联盟手游",-
超简单无脑套路！通关恶魔难度，无伤秒杀最终boss。《LOL恶魔手契》,pipiku7,BV1KvoUYYE8n,2025-03-25 00:07:55,30:38,6,18,2684,11,电子竞技,"游戏,搞笑,LOL,无伤,BOSS,高能,秒杀,原神,极限竞速 春风破晓,极限竞速创作者激励计划3-4月,恶魔手契",核心就是三带二，装备选三连增伤、二连增伤、指令牌增伤，弃牌百分比和独行第二回合百分比或者其他的百分比，目标是在怪物出手前击杀，可以装备延迟怪物攻击一回合。这个套路从剧情模式无脑杀到恶魔一回没死过，精英怪全杀，省流可以从26分30秒开始看。
《lol手游解说》女生觉得男生玩什么英雄比较帅 听着故事就能把技术给学了,杨逍逍i,BV1VAm2Y5EE1,2024-11-11 18:00:00,15:7,562,4813,190075,793,手机游戏,"LOL手游,英雄联盟手游",-
